video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7352556238896418080,2024-03-31T17:53:27,22,FI,505100,19600,1997,6800000,Shedding my skin for glowy skin 💛 @APRILSKIN using the Calendula peel off mask & Calendula resurfacing serum #glowyskin #skincaretips #koreanskincare #APRILSKIN #kbeauty #bye #pores #cloggedpores #glassskin #skincare #dewyskin #medicubepartner ,True,,jasminnlily_,Jasmin,,,,,,False,,,
7368796002846854405,2024-05-14T12:11:59,30,US,147100,1056,1131,2000000,Skin care routine✨,False,,kikakiim,Kika Kim,,,,,,True,,,
7367135005392342277,2024-05-10T00:46:28,24,ID,4585,467,8,2300000,#top #serum #viral #foryoupage #skincare ,False,,glowwskinnn,My Skincare,,,,,,False,,,
7095309078540356870,2022-05-08T12:23:02,57,AT,229300,6029,2033,4200000,#answer to @spidermark790  #answer to @spidermark790  Thank you 😍 @noeminikita #foryou #fyp #tiktok #skincare #spaday #love #couple #viral #spa #skincareroutine #boyfriend,False,,joshuamonis,Joshua Monis,,,,,,False,,,
7355971887698332974,2024-04-09T22:48:19,24,US,281800,11300,280,5600000,Skincare with your girlfriend be like 🧼✨😁✨ #couples #dating #skincare #husbandwife ,False,,the.weenie.family,theweeniefam,,,,,,False,,,
7376324284924333345,2024-06-03T19:05:36,31,FR,3200000,83200,15400,35100000,there will also have a smoke machine! the reveal is coming soon 😎 #cosplay #costume #springtrap #fnaf #fivenightsatfreddy #williamafton #horror #fyp ,False,,yannisammarr,Yannisammar,,,,,,False,,,
7259773615061601562,2023-07-25T17:09:43,26,VN,895700,4754,3265,13900000,#lhdchinese #douyin #cosplay #cosplayer #fyp #viral #xh #xuhuong ,False,,iamss25th7,𝕯𝖚𝖈,,,,,,False,,,
7282732203065298181,2023-09-25T14:00:30,28,ID,106900,818,861,3400000,Yg 2021 blm download data😭#free_fire#kellyfreefire#fakebodyy⚠️#cosplay ,False,,imaasiagirl2,พลอยAesh2,,,,,,False,,,
7257832441140776219,2023-07-20T11:36:44,27,VN,736600,9455,4660,7800000,#lhdchinese #douyin #cosplay #cosplayer #fyp #viral #xh #xuhuong ,False,,iamss25th7,𝕯𝖚𝖈,,,,,,False,,,
7256672858682821894,2023-07-17T08:36:58,54,VN,230700,2434,2011,6500000,Lễ hội cosplay Natsu Matsuri 2023 #anime ,False,,otakuyukishop,otakuyukishop,,,,,,False,,,
7372146627802434833,2024-05-23T12:54:13,47,AU,656300,117100,1807,15800000,"High Protein Creamy Chicken Fajita Burritos🌯 Easy Meal Prep With 56g Protein💪🏼 (Macros: Per Burrito - 10 Total) 498 Calories 34.6gC | 11.6gF | 56gP Ingredients:  1.3KG Diced Skinless & Boneless Chicken Breast (raw weight) 1/2 Packet Fajita Seasoning (Old El Paso - store bought or homemade) 400g Red Enchilada Sauce (Old El Paso - or tomato passata) 500g Diced Capsicum/Bell Peppers 1 Diced Onion Light Cooking Oil Spray (Frylight) Salt Parsley 600g Low Fat Cottage Cheese 130g Light Cream Cheese (or light laughing cow cheese) 1/2 Packet Fajita Seasoning 80g Light Mozzarella 700g Cooked White Rice (divided into 10 burritos - 70g per burrito. You can add more or less depending on your macros) 10 Warm Regular Tortillas (Old El Paso, Simson's Pantry Protein Wraps or any large basic tortilla)  Don't forget to check out my digital cook books with over 200 delicious & easy recipes like these!  📖👨🏻‍🍳 IMPORTANT NOTES: Before rolling the burrito make sure to warm up the tortilla in a pan with the stove on low heat for approximately 30 seconds on each side. Doing this will prevent the tortilla from breaking when rolling. Reheat Instructions: Store your burritos in the freezer & when you’re ready to heat it up first take it out of the foil/wrapper, wrap it in a paper towel & microwave for approximately 2 minutes (this will thaw the burrito to ensure it isn’t cold in the middle) from here air fry at 190C/375 for 5 - 8 minutes. This can also be done in the oven or pan fried, times may vary slightly.  #burrito #highprotein #highproteinmeals #Fitness #fatloss #lowcalorie #healthyrecipes #mealprep #foodie #slowcooker #chicken",False,,aussiefitness,Aussie Fitness 🇦🇺💪🏼,,,,,,True,,,
7370717166624132357,2024-05-19T16:27:05,49,PK,704900,43800,4444,15600000,"Ami Jaan kay hath ki Mint Pulao Biryani✨😍 Save this Recipe to try later 🫶🏻 Ingredients: Oil as required  Chicken 1 na a half kg Onion - 3 Ginger 1-tbsp Garlic 1-tbsp Sabut Garam Masala 1-tbsp  Garam Masala Powder 1-tbsp  Cumin (Zeera) 1-tbsp  Tomatoes - 4 Yogurt 2-Cups Salt to taste  Chilli flakes 1-tbsp  Red chilli powder 1-tbsp  Rice 1-n a halfkg Green chillies  Coriander leaves  Mint Leaves  Lemon Slices  Aloo Bukhara half cup Directions: ✨ In a Pan, add oil , Onion & fry until golden brown. ✨ Add Ginger ,Garlic & Sabut Garam Masala. Cook until light brown. ✨ Add Chicken & cook until it changes colour. ✨Add all the spices mentioned above  ✨Add Yogurt & Tomatoes, cover & cook on medium flame for 5-6minutes then cook on high flame until oil separates. ✨Add Coriander& Mint Leaves. Mix well. ✨Add Chicken Cubes, Aloo Bukhara & Chilli flakes. ✨Add Water as required, mix well & bring it to Boil. ✨Add soaked rice, cook on high flame until water is reduced to 1 Cup. ✨ Add Coriander leaves , Mint Leaves, Lemon Slices Green Chillies on the top as per your choice. ✨Now cover & steam cook on low flame for 20 minutes. ✨Serve Pulao Biryani with Raita, Salad & Achaar. Enjoy !! #foryou #foryoupage ",False,,hiru.blogs,hirublogs,,,,,,False,,,
7360926980226714926,2024-04-23T07:17:00,60,US,373700,122500,60100,27000000,mcdonalds & homemade eggs. #mcdonalds #husbandmeals #bluecollarmeals #cookingtiktok #bluecollarboys #65yearoldhusband #cookwithme #recipes #foodlover #eggs #cheeseburger #frenchfries ,False,,thepatriciapearls,𝐩𝐚𝐭𝐫𝐢𝐜𝐢𝐚 𝐩𝐞𝐚𝐫𝐥𝐬☆,,,,,,False,,,
7408944686871858465,2024-08-30T16:49:25,60,GB,455100,39200,1741,13000000,#nobakedessert #biscoff #tiktokfood #foodie #EasyRecipe #asmrsounds #tiktokcooks #delicious ,False,,barbhomekitchen,Barbara Bajon,,,,,,False,,,
7270649373439069442,2023-08-24T00:33:03,32,US,55300,6342,202,2000000,Easy & quick mini fried soup dumplings recipe in China. Do you want to try? #recipe #cooking #dumplings #chinesefood #dimsum ,False,,foodiechina888,foodiechina888,,,,,,False,,,
7262178499186691329,2023-08-01T04:41:40,27,VN,994,82,17,77300,Làm đồ handmade decor phòng cực xinh lại đơn giản #decor #tiktokdiy #handmade #chill ,False,,tienichxian,Tiện ích XIAN,,,,,,False,,,
7290923387466288430,2023-10-17T15:46:49,23,US,19300,2964,1072,1400000,Genius! Follow for more crafting ideas! 👻 #Halloween #crafts #diy ,False,,randyandco,Randy and co.,,,,,,False,,,
